id,president_id,headline,url,section,word_count,date,keywords,,,,,,,,,,,,,,,,,,
5819208e95d0e022439c67f4,2,Clinton Redirects Aim at Trump,https://www.nytimes.com/video/us/politics/10004742871/clinton-redirects-aim-at-trump.html,U.S. / Politics,23,2016-11-01,"[('subject', 'Presidential Election of 2016'), ('persons', 'Clinton, Hillary Rodham'), ('persons', 'Trump, Donald J')]",,,,,,,,,,,,,,,,,,
57c842c995d0e021d7983d3f,2,"If Trump Gets His Way, Real Estate Will Get Even More Tax Breaks",https://www.nytimes.com/2016/09/02/business/economy/if-trump-gets-his-way-real-estate-will-get-even-more-tax-breaks.html,Business,1391,2016-09-02,"[('persons', 'Trump, Donald J'), ('subject', 'Real Estate (Commercial)'), ('subject', 'Presidential Election of 2016'), ('subject', 'Capital Gains Tax'), ('subject', 'Tax Shelters'), ('subject', 'Tax Credits, Deductions and Exemptions'), ('subject', 'Income Tax'), ('subject', 'Private Equity'), ('subject', 'Hedge Funds')]",,,,,,,,,,,,,,,,,,
57ef894995d0e021d798981a,2,The Other Trump,https://www.nytimes.com/2016/10/02/fashion/tiffany-the-other-trump.html,Styles,2349,2016-10-01,"[('subject', 'Presidential Election of 2016'), ('persons', 'Trump, Tiffany (1993- )'), ('persons', 'Trump, Donald J'), ('persons', 'Maples, Marla')]",,,,,,,,,,,,,,,,,,
581b711895d0e022439c6c75,2,Hillary Clinton's Juggling Act,https://www.nytimes.com/2016/11/03/opinion/campaign-stops/hillary-clintons-juggling-act.html,OpEd,1501,2016-11-03,"[('subject', 'Presidential Election of 2016'), ('persons', 'Clinton, Hillary Rodham'), ('organizations', 'Democratic Party')]",,,,,,,,,,,,,,,,,,
5811aaec95d0e022439c57a8,2,The Great Democratic Inversion,https://www.nytimes.com/2016/10/27/opinion/campaign-stops/the-great-democratic-inversion.html,OpEd,2305,2016-10-27,"[('subject', 'Presidential Election of 2016'), ('organizations', 'Democratic Party'), ('persons', 'Clinton, Hillary Rodham'), ('subject', 'Race and Ethnicity'), ('subject', 'Colleges and Universities')]",,,,,,,,,,,,,,,,,,
581b74fd95d0e022439c6d4a,2,Is Donald Trump an American Hugo ChÃ¡vez?,https://www.nytimes.com/2016/11/04/opinion/is-donald-trump-an-american-hugo-chavez.html,OpEd,939,2016-11-03,"[('subject', 'Presidential Election of 2016'), ('persons', 'Chavez, Hugo'), ('persons', 'Trump, Donald J')]",,,,,,,,,,,,,,,,,,
5818f0f395d0e022439c6770,2,Donald Trump's Taxes and Hillary Clinton's Emails,https://www.nytimes.com/2016/11/02/opinion/donald-trumps-taxes-and-hillary-clintons-emails.html,Letters,681,2016-11-01,"[('persons', 'Clinton, Hillary Rodham'), ('persons', 'Trump, Donald J'), ('persons', 'Brazile, Donna'), ('persons', 'Comey, James B'), ('subject', 'Presidential Election of 2016')]",,,,,,,,,,,,,,,,,,
5818599c95d0e022439c6598,2,Trump's Inconvenient Racial Truth,https://www.nytimes.com/2016/11/01/magazine/trumps-inconvenient-racial-truth.html,Magazine,2582,2016-11-01,"[('subject', 'Blacks'), ('subject', 'Discrimination'), ('subject', 'Race and Ethnicity'), ('subject', 'Presidential Election of 2016'), ('subject', 'Poverty'), ('subject', 'Real Estate and Housing (Residential)'), ('persons', 'Clinton, Hillary Rodham'), ('persons', 'Trump, Donald J')]",,,,,,,,,,,,,,,,,,
580280d195d0e022439c3645,2,How to Be a Man in the Age of Trump,https://www.nytimes.com/2016/10/16/opinion/sunday/how-to-be-a-man-in-the-age-of-trump.html,OpEd,1340,2016-10-15,"[('subject', 'Women and Girls'), ('subject', 'Sexual Harassment'), ('subject', 'Sex Crimes'), ('persons', 'Trump, Donald J'), ('persons', 'Obama, Michelle'), ('subject', 'Men and Boys'), ('subject', 'Presidential Election of 2016')]",,,,,,,,,,,,,,,,,,
5823150395d0e0204d55f817,2,Trump Business Partner Is Philippines' New Trade Envoy to U.S.,https://www.nytimes.com/2016/11/10/world/asia/donald-trump-philippines-jose-antonio.html,Foreign,422,2016-11-09,"[('persons', 'Duterte, Rodrigo'), ('persons', 'Trump, Donald J'), ('glocations', 'Philippines'), ('persons', 'Antonio, Jose E B'), ('subject', 'United States International Relations'), ('glocations', 'Manila (Philippines)'), ('subject', 'Presidential Election of 2016'), ('organizations', 'Century Properties Group')]",,,,,,,,,,,,,,,,,,
